comment_text,content_id,형태소,형태소기반_감정,맥락기반_감정
"축사에서 소들이 혀로 핥고 있는 이 빨간 덩어리는 단순한 사탕처럼 보일 수 있지만, 실제로는 소금과 다양한 무기질이 압축되어 만든 가축용 미네랄 보충제입니다. 🔹 미네랄 블록이란 무엇인가요? 미네랄 블록은 주로 소금(NaCl), 칼슘(Ca), 인(P), 마그네슘(Mg), 아연(Zn), 구리(Cu), 코발트(Co), 요오드(I), 셀레늄(Se) 등 동물에게 필수적인 무기질을 포함하고 있으며, 이들을 압축하여 고체 형태로 만든 제품입니다. 🧂 왜 미네랄 블록이 필요한가요? 가축들은 자연 상태에서는 다양한 식물을 통해 무기질을 섭취하지만, 축사나 사료 중심의 사육 환경에서는 무기질이 부족해지기 쉽습니다. 그중에서도 **소금(나트륨)**은 가장 부족해지기 쉬운 성분 중 하나이며, 가축의 식욕, 소화, 근육 기능, 수분 조절 등에 중요한 역할을 합니다. 🐄 소는 얼마나 먹나요? 과다섭취는 괜찮을까요? 소는 본능적으로 자신의 몸에 필요한 만큼만 미네랄을 섭취합니다. 과다섭취를 걱정하지 않아도 되며, 실제로 부족한 영양소가 채워지면 더 이상 핥지 않습니다. 💡 미네랄 블록의 장점 자율 섭취 가능 – 동물이 자유롭게 섭취할 수 있어 편리합니다. 관리 용이 – 일정 기간 사용할 수 있어 교체 주기가 깁니다. 균형 영양 보충 – 중요한 미량 원소까지 포함되어 있어 전체 건강을 유지하는 데 도움을 줍니다. 스트레스 완화 – 일부 가축은 미네랄 부족 시 스트레스를 겪을 수 있는데, 이를 예방할 수 있습니다. 🐖 어떤 동물들이 사용할 수 있나요? 미네랄 블록은 다양한 가축에게 유용합니다. 아래는 대표적인 사용 대상입니다: 소(한우, 젖소) 돼지 말 염소 양 사슴 닭 및 가금류 (이 경우에는 블록 형태보다는 가루 형태로 제공되는 경우가 많음) 야생동물 (자연 방사지에서 사용하는 경우도 있음) 🌱 사용 시 주의사항 미네랄 블록은 건조하고 통풍이 잘 되는 곳에 설치하는 것이 좋습니다. 직사광선이나 빗물에 노출되지 않도록 주의해야 하며, 오염되지 않도록 관리해야 합니다. 자연 상태에서 사육 중인 동물에게도 유용하게 제공할 수 있습니다. 📌 기억하세요! 미네랄 블록은 단순한 먹이가 아닌, 가축 건강을 유지하고 생산성을 높이는 중요한 수단입니다. 소들은 똑똑하게도 자신의 몸에 꼭 필요한 만큼만 핥기 때문에, 너무 많이 먹을까 걱정하지 않으셔도 됩니다. 🧠 가축을 키우신다면 꼭 미네랄 블록을 활용해보세요. 건강한 동물은 더 나은 품질의 축산물로 이어집니다!",34,"['축사', '빨갛', '덩어리', '단순', '사탕', '보이', '소금', '다양', '무기질', '압축', '만들', '가축', '미네랄', '보충', '미네랄', '블록', '무엇', '미네랄', '블록', '소금', '칼슘', '마그네슘', '아연', '구리', '코발트', '요오드', '레늄', '동물', '필수', '무기질', '포함', '압축', '고체', '형태', '만들', '제품', '미네랄', '블록', '필요', '가축', '자연', '상태', '다양', '식물', '통하', '무기질', '섭취', '축사', '사료', '중심', '사육', '환경', '무기질', '부족', '소금', '나트륨', '부족', '성분', '하나', '가축', '식욕', '소화', '근육', '기능', '수분', '조절', '중요', '역할', '과다', '섭취', '괜찮', '본능', '자신', '필요', '만큼', '미네랄', '섭취', '과다', '섭취', '걱정', '부족', '영양소', '채우', '이상', '미네랄', '블록', '장점', '자율', '섭취', '가능', '동물', '자유', '섭취', '편리', '관리', '일정', '기간', '사용', '교체', '주기', '균형', '영양', '보충', '중요', '미량', '원소', '포함', '전체', '건강', '유지', '도움', '스트레스', '완화', '일부', '가축', '미네랄', '부족', '스트레스', '예방', '동물', '사용', '미네랄', '블록', '다양', '가축', '유용', '아래', '대표', '사용', '대상', '한우', '젖소', '돼지', '염소', '사슴', '가금', '경우', '블록', '형태', '가루', '형태', '제공', '경우', '야생', '동물', '자연', '방사', '사용', '경우', '사용', '주의', '사항', '미네랄', '블록', '건조', '통풍', '설치', '직사광선', '빗물', '노출', '주의', '오염', '관리', '자연', '상태', '사육', '동물', '유용', '제공', '기억', '미네랄', '블록', '단순', '먹이', '아니', '가축', '건강', '유지', '생산', '높이', '중요', '수단', '자신', '필요', '만큼', '때문', '걱정', '가축', '키우', '미네랄', '블록', '활용', '건강', '동물', '품질', '축산물', '이어지']",중립,긍정
노래에 빠졌어요 🎵🎶🎶🥰🥰❤️❤️👍👍,37,"['노래', '빠지']",중립,긍정
❤❤건강해😊😊,37,['건강'],중립,긍정
유튜브에 안 올라오는 일상 사진은 인스타그램에 올리고 있어요 :) 👩 일상 계정 → @seung.aah 🐶 꼬미 출근 릴스 → @kkom.aah 팔로우하고 더 자주 만나요~!,39,"['유튜브', '올라오', '일상', '사진', '인스타그램', '올리', '일상', '계정', '꼬미', '출근', '릴스', '팔로우', '만나']",긍정,긍정
ㅎㅎ조카마니컷네요ㅎㅎ꼬미 사료씹는 소리랑 물마시는소리 넘 좋아요ㅎㅎ😊,39,"['조카마니컷네요꼬미', '사료', '소리', '마시', '소리']",중립,긍정
오늘도귀엽네요😊😊,39,"['오늘', '귀엽']",긍정,긍정
"저는 에스더몰에서 초임계 알티지 오메가3, 멀티비타민 미네랄 두 개 먹고 있어요. 8900원씩 하는데 저렴하죠? 의사선생님인 여에스더님이 판매하시는 거라 믿고 먹어요. 승아님도 오메가, 멀티비타민 미네랄 드시나요? 안 드시면 드시는 걸 추천해요😊 비판텐 좋은진 얘기 많이 들어 알긴 한데 아이크림 대용으로도 좋군요? 참고할게요~ 저도 아이크림이 필요한데.. 한 번 아이크림으로 써봐? 저희 강아지는 식탐은 없어서 길가에서 뭐 줏어먹진 않는데 외할머니댁에서 엄마 요리할 때 대파가 부엌바닥에 떨어졌는데 그거 먹은 줄 알고 늦은 저녁에 24시 2차? 동물병원가서 게워내게 하고 난리였었어요😂 뱃속엔 황태 뿐..(사료를 못 챙겨가서 한 끼는 황태만 한 줌 먹임) 되돌아보니 그것도 추억?이라면 비싼 추억이네요😂 대파 안 먹어서 다행이었지.. 제가 화장품은 화해 앱에서 성분 검색해서 쓰는데 달바.. 어떤 제품은 성분은 좋지 못한 걸로 나오던데 많이들 쓰시더라구요😂 저는 순한 것, 기능성 쓰다가 귀찮아서 안 바르다가 하고 있네요😂 (피부 좋은 것도 아니면서 안 챙기고 어쩐대😢) 5:27 퇴근하니까 꼬미도 좋은가봐요, 꼬리도 방정?맞게 흔들면서 걷구😂ㅋㅋ 이번 겨울은 유난히 추운 것 같아요. 영하로 거의 떨어지지 않는 남쪽나라 부산이 오후엔 계속 영하..😅 빨리 봄이 되서 날이 풀렸으면 좋겠어요. 울 딴이 산책갈 때마다 미안해죽겠어요😂😂 이렇게 추운 추위는 6년 평생 처음 겪어보다시피 할텐데 하구요~ ㅋㅋ저는 내복입고 다녀요. 내복빨 때면 바지 안에 레깅스입기도..ㅋㅋ 저는 엄마가 두부조림, 오이무침을 정말 맛있게 하셔서 그 두 개를 배워 보려는데 잘 안 가르쳐 주시네요😂ㅋㅋ 그 수업듣기 참 비싸다 정말~.. 어디까지 도는 거예요..? 어디까지 올라가는 거예요?였나ㅋㅋ 부산억양으로 읽었어요ㅋㅋㅋㅋ 오~ 울쎄라 좋은가요? 나도 저렇게 관리를 잘해야 할텐데 이마주름이 조금 생겨버림....ㅠ 추천해주시는 것 참고해서 받아볼게요~😊고맙습니다. 이번 주도 알차게 잘 봤어요ㅎㅅㅎ 다음 주도 기대하며~!!우리는 다음에 또 만나영~^.^//",39,"['에스', '초임', '알티', '오메가', '멀티', '비타민', '미네랄', '저렴하', '의사', '선생', '여에스더', '판매', '승아', '오메가', '멀티', '비타민', '미네랄', '드시', '드시', '드시', '추천', '비판', '얘기', '크림', '대용', '참고', '크림', '필요', '크림', '저희', '강아지', '식탐', '길가', '외할머니', '엄마', '요리', '대파', '부엌', '바닥', '떨어지', '그거', '저녁', '동물', '병원', '게우', '난리', '뱃속', '황태', '사료', '챙기', '황태', '먹이', '되돌아보', '그것', '추억', '비싸', '추억', '다행', '화장품', '화해', '성분', '검색', '제품', '성분', '못하', '나오', '순하', '기능', '귀찮', '바르', '피부', '아니', '챙기', '어쩌', '퇴근', '꼬미', '꼬리', '방정맞', '흔들', '이번', '겨울', '영하', '떨어지', '남쪽', '나라', '부산', '오후', '영하', '풀리', '산책', '미안', '이렇', '추위', '평생', '처음', '내복', '다니', '내복', '바지', '레깅스', '엄마', '두부', '조림', '오이', '무침', '맛있', '배우', '가르치', '수업', '비싸', '어디', '어디', '올라가', '부산', '억양', '울쎄라', '관리', '이마', '주름', '생기', '버리', '추천', '참고', '고맙', '이번', '알차', '다음', '기대', '우리', '다음', '만나']",긍정,긍정
간식 주세요❤❤❤,42,['간식'],중립,긍정
어르미 배고픈데 간식줘라😮 많이~많이 안돼 뱃살나와 ❤❤❤,42,"['어르미', '배고프', '간식', '뱃살', '나오']",중립,긍정
여르미공듀 😍❤,42,['여르미공듀'],중립,긍정
😅😊😊❤,42,[],중립,긍정
어르미공주야 간식은 좋치❤❤❤,42,"['어르미', '공주', '간식']",중립,긍정
Merci beaucoup sublime ton toutou ❤ ❤,42,[],중립,긍정
귀여워❤❤귀는왜😂😂,42,['귀엽'],긍정,긍정
귀엽다 ㅎㅎ,44,['귀엽'],긍정,긍정
안취해야할때 꼭쓰세요..❤,44,['취하'],중립,긍정
음..뭘 먹는것보다 술마실때 음료수대신 물을 마시세요..!! 이게 제일 효과 좋아요 진탕마셔도 물만 많이 마셔주면 다음날 머리만 어지러울뿐 속 뒤집어지진 않아요👍,44,"['마시', '음료수', '대신', '마시', '이것', '효과', '마시', '마시', '다음', '머리', '어지럽', '뒤집']",긍정,긍정
약국가서 술먹기전에 먹는 약 주세요 하면 더 효과좋은거 추천해줌,44,"['약국', '효과', '추천']",긍정,긍정
솔직히 저거 다 필요없음 담배피는거 따라가고 음료수 아이스크림 제공해서 밖에 오래있고 술 자체를 들 마시는게 최고임,44,"['저거', '필요', '담배', '따라가', '음료수', '아이스크림', '제공', '자체', '마시', '최고']",긍정,긍정
그냥 술마시지마세요 안취하면 몸이 썩어가는순간입니다,44,"['마시', '취하', '순간']",중립,긍정
한눈에 보는 단백이 포인트 1⃣ 노른자 NO! 노른자 없이 흰자만 쏙— 지방·콜레스테롤 걱정 없이 가볍게! 2⃣ 단백질 듬뿍! 단백이 1개 = 계란 흰자 2개 3⃣ 맛도 다양하게 오리지널: 삶은 계란 흰자 그대로! 짭짤한맛: 소금 살짝 찍은 듯한 고소한 맛 4⃣ 섭취는 간편하게 그냥 바로 먹어도 OK! 전자레인지에 살짝 데워도 맛있어요. 5⃣ 건강한 칼로리 밸런스 단백이 1개 기준 30~35kcal / 단백질 7~8g 6⃣ 소비기한 오리지널: 60일 짭짤한맛: 60일 CU 편의점에서 만나요! 🎁 단백이 댓글 이벤트 1. 참여방법 댓글에 단백이 기대평을 남겨 주세요! 2. 당첨자 혜택(5명) 단백이 오리지널 10개입 📌응모 기한 2025.11.28(금) ~ 12.12(금) 📌당첨자 발표 : 추후 커뮤니티 공지 ▶ 이벤트 & 할인 정보 카톡 플친 👉 http://pf.kakao.com/_vUxjHG ▶ 요즘 먹는 영양제(아이허브 장바구니 목록) 👉 https://iherb.co/2vFryqAd,45,"['한눈', '포인트', '노른자', '노른자', '흰자', '지방', '콜레스테롤', '걱정', '가볍', '단백질', '단백', '계란', '흰자', '다양', '오리지널', '계란', '흰자', '소금', '섭취', '간편하', '전자레인지', '데우', '맛있', '건강', '칼로리', '밸런스', '단백', '기준', '단백질', '소비', '기한', '오리지널', '편의점', '만나', '단백', '댓글', '이벤트', '참여', '방법', '댓글', '단백', '기대', '남기', '당첨자', '혜택', '단백', '오리지널', '응모', '기한', '당첨자', '발표', '추후', '커뮤니티', '공지', '이벤트', '할인', '정보', '카톡', '플친', '영양제', '아이', '허브', '장바구니', '목록']",긍정,긍정
163kg에서 N년을 걸쳐 드디어 2자리 숫자에 돌입했네요!!! 요즘은 2자리 숫자에 돌입해서 그런가 확실히 옛날에 비해 살 빠지는 속도가 줄어들었지만 영차님 영상 보면서 조급해 하지말고 천천히 요요 없이 빼려고 합니다...단백이 먹으면서 저도 제가 설정한 최종 목표까지 도달했으면 좋겠습니다😊 늘 식단 먹방(?) 다이어트 영상 잘 보고있어요 ㅋㅋㅋ🤭,45,"['걸치', '자리', '숫자', '돌입', '요즘', '자리', '숫자', '돌입', '그렇', '옛날', '비하', '빠지', '속도', '영상', '요요', '단백', '설정', '최종', '목표', '도달', '식단', '먹방', '다이어트', '영상']",중립,긍정
오늘자로 14kg 정도 감량했습니다 원체 고도비만이라 아직 갈길이 멀지만... 화이팅해서 이겨나가보겠습니다. 단백이도 맛나보여요 저도 가끔먹는 카레에 같이먹으면 완전 꿀맛일거같아 기대됩니다 :),45,"['오늘', '정도', '감량', '고도', '비만', '이기', '나가', '단백', '맛나', '보이', '카레', '꿀맛', '기대']",긍정,긍정
"프로틴쉐이크에 감미료 걱정됐는데, 단백이는 간단하게 단백질 챙기기도 좋고 건강해서 넘 기대됩니다❤❤❤",45,"['프로', '쉐이크', '감미료', '걱정', '단백', '단백질', '챙기', '건강', '기대']",긍정,긍정
오 단백이 진짜 괜찮네요 ㄷㄷ 노른자도 식단에 안 좋대서 고민중이었는데 바로 무봐야겠네요,45,"['단백', '괜찮', '노른자', '식단', '고민']",긍정,긍정
단백이 기대되네요 건강한 단백질 채우기 진짜 딱인 거 같아요 !! 너무 간편하고 좋네요 ~ 가지고 다니면서 먹기도 좋아서 기대되용 ㅎㅎ,45,"['단백', '기대', '건강', '단백질', '채우', '가지', '다니', '기대']",긍정,긍정
단백이로 간편하고 담백하게 단백질을 채울수있을것 같아 너무 기대되네요!,45,"['단백', '간편하', '단백질', '채우', '기대']",긍정,긍정
단백이 먹어보고싶네요 맨날 반숙 완숙 먹는데 흰자만 있다니 기대가 됩니다. 목 막힐 걱정도 줄어들거같아요 ㅋㅋ,45,"['단백', '반숙', '완숙', '흰자', '기대', '막히', '걱정', '줄어들']",중립,긍정
단백이 처음 알았네요 시간없을때 챙겨 먹어봐야 겠습니다,45,"['단백', '처음', '시간', '챙기']",긍정,긍정
단백이 항상 먹어보고 싶었는데 이렇게 보게 돼서 좋네요! 나중에 한 번 먹어봐야겠어요!,45,"['단백', '이렇', '나중']",중립,긍정
가끔 편의점에서 사먹는데 너무 괜찮더라구요!!!!!단백이 당첨되묜 넘 행복할듯요...♥️,45,"['편의점', '괜찮', '단백', '당첨', '행복']",긍정,긍정
삶은 계란 먹을 때 노른자는 항상 뺴고 먹었었는데 단백이는 흰자로만 되어 있어서 너무 기대가 되네요. 자주 이용할 것 같아요!,45,"['계란', '노른자', '뺴고', '단백', '흰자', '기대', '이용']",긍정,긍정
와 단백이!! 제가 체지방 18%에서 지금 10%까지 만들어 내는데 가장 도움을 준게 바로 계란 흰자였습니다 그런게 간단식으로 나왔다니!! 너무 기대된다 기대돼!!,45,"['단백', '체지방', '만들', '도움', '계란', '흰자', '나오', '기대', '기대']",긍정,긍정
단백이 한번도 안 먹어봤는데 식단할때 큰 도움 되겠네요! 맛도 궁금해서 길 가다 찾아봐야겠어요!,45,"['단백', '식단', '도움']",긍정,긍정
와 영상 넘 좋다 감사합니다,45,"['영상', '감사']",긍정,긍정
오늘도 먹방 유튜브 잘봤습니다.,45,"['오늘', '먹방', '유튜브']",중립,긍정
달걀 흰자 진짜 좋아하는데 단백이 맛있겠네요~~,45,"['달걀', '흰자', '좋아하', '단백', '맛있']",긍정,긍정
단백이 기대되네요 건강한 단백질 관리 간편하게 챙겨먹고싶어요,45,"['단백', '기대', '건강', '단백질', '관리', '간편하', '챙기']",긍정,긍정
다이어트중에 그램수 까지 재면서 다이어트 하는 1인입니다 항상 묘하게 모자란데 딱맞는 칼로리때문에 신경이 쓰였는데 단백이 있으면 단백질 채우기 좋겠네요! 기대됩니다😮,45,"['다이어트', '그램', '다이어트', '묘하', '모자라', '칼로리', '때문', '신경', '쓰이', '단백', '단백질', '채우', '기대']",긍정,긍정
"단백이 지방,칼로리낮고 단백질 높죠 ㅎㅎ 자주 챙겨먹었는데 식단으로 간편하게 좋아요",45,"['단백', '지방', '칼로리', '단백질', '챙기', '식단', '간편하']",긍정,긍정
"단백이 사려다가 영상이 알고리즘에 떴네요. 구운맛은 아직인데, 짭짤, 오리지널, 구운 다이어트 하기 너무 좋은듯요. 심지어 맛있음. 지금 구매하러 갑니다 ㅠㅠ",45,"['단백', '영상', '알고리즘', '오리지널', '다이어트', '맛있', '구매']",중립,긍정
요즘 다이어트땜에 삶은 달걀 정말 많이 먹는데 노른자는 퍽퍽해서 잘 안먹게 되더라구요.. 근데 단백이 이거 완전 저를 위한 제품 같네요!! 식단할때 너무 좋을거같아요! 좋은 제품 소개해주셔서 감사합니다😊😊,45,"['요즘', '다이어트', '달걀', '노른자', '퍽퍽하', '단백', '이거', '위하', '제품', '식단', '제품', '소개', '감사']",긍정,긍정
"➊ 대웅제약 코엔자임 Q10 다이소 영양제 코너에서 하루 1알 섭취하세요. ➋ 근거 코엔자임 Q10은 세포 에너지 생성에 관여해 피부 탄력·주름 개선, 혈압·심혈관 건강, 면역력 강화에 도움을 줍니다. 약사들도 약국보다 다이소에서 먼저 찾는 이유가 바로 이 가성비입니다. ➌ 주의사항 혈압·심혈관 관련 약을 복용 중이거나, 임신·수유 중인 분은 섭취 전 전문가 상담이 필요합니다. 지속적으로 복용하는 것이 중요하며, 과다 섭취는 피하세요.",46,"['대웅제약', '코엔자임', '다이소', '영양제', '코너', '하루', '섭취', '근거', '코엔자임', '세포', '에너지', '생성', '관여', '피부', '탄력', '주름', '개선', '혈압', '심혈관', '건강', '면역력', '강화', '도움', '약사', '약국', '다이소', '이유', '가성비', '주의', '사항', '혈압', '심혈관', '관련', '복용', '임신', '수유', '섭취', '전문가', '상담', '필요', '지속', '복용', '중요', '과다', '섭취', '피하']",긍정,긍정
저도 코큐텐은 다이소꺼먹어요! 다만 애사비는 성분도그렇고 괜찮은거없어서 좋은습관초산균 여기꺼 따로 주문합니다 ㅠ,46,"['코큐', '다이소', '애사비', '성분', '그렇', '괜찮', '습관', '초산', '여기', '주문']",긍정,긍정
"프롬바이오 코엔자임q10 = 가격 거의 같고, 함께 먹으면 좋은 성분도 많음...",46,"['프롬', '바이오', '코엔자임', '가격', '성분']",중립,긍정
"신기해서 2개정도 사먹음 원제조사 더 저렴히 파네요. 다이소 영양제 안삼. 오메가3, 비타민c 이것만 몸에 받아주는만큼 먹어주는게 좋데요.",46,"['정도', '원제', '조사', '다이소', '영양제', '오메가', '비타민', '이것', '만큼']",중립,긍정
코큐텐 바나나잎~~ 그 외는 대부분 함유량 미달 가격대비 적게 든 영양제는 괜찮다고 하는데 이노시톨 유산균? 10개 5천원짜리 후기 괜찮음.,46,"['코큐텐', '바나나', '대부분', '함유량', '미달', '가격', '대비', '영양제', '괜찮', '유산균', '후기', '괜찮']",긍정,긍정
다이소 영양제 건강식품 가성비 좋습니다 함량이 적다면 2캡슐 드시면 됩니다,46,"['다이소', '영양제', '건강식품', '가성비', '함량', '캡슐', '드시']",긍정,긍정
코큐텐 마그네슘만 다이소거 먹음...배송비 없으니...멀해도 저게 저렴함.,46,"['코큐텐', '마그네슘', '다이소', '배송비', '저것', '저렴하']",긍정,긍정
자연푸릇이 짱임,46,['자연푸릇'],중립,긍정
❤❤a Q,46,[],중립,긍정
고약사님영상도 잘보고있어요! 두분조합 칭찬합니다❤,47,"['약사', '영상', '조합', '칭찬']",중립,긍정
재밌게봤어요 ❤ 감사합니다,47,"['재밌', '감사']",긍정,긍정
잘봤어용~다이소 콜라겐 특집! 요런거도 해주시면 여성분들께 도움이 더 될거같네요!,47,"['다이소', '콜라겐', '특집', '여성', '도움']",긍정,긍정
전문가 분들이 이야기하시니 믿음이 가네요 도움이 많이 되었습니다. 감사합니다,47,"['전문가', '이야기', '믿음', '도움', '감사']",긍정,긍정
진짜 진정한 약사이신분…. 최고…❤,47,"['진정하', '약사', '최고']",긍정,긍정
대웅제약건 없네요?! 대웅제약이 젤 많이 나가고 재구매도 많다고 다이소 직원이 추천해줘서 많이 쟁였는데,47,"['대웅제약', '대웅제약', '나가', '구매', '다이소', '직원', '추천', '쟁이']",긍정,긍정
종근당 루테인 지아잔틴은 중장년 노안에는 도움되나요?,47,"['종근당', '루테', '지아', '잔틴', '중장년', '노안', '도움']",긍정,긍정
다이소 영양제23일분 저렴한거 아님,47,"['다이소', '영양제', '저렴하', '아니']",긍정,긍정
감사감사합니다 ❤❤❤,47,"['감사', '감사']",긍정,긍정
나쁘지 않은 게 다이소 가면 건기식 종류가 꽤 있는데 한달치 30정에 5000원 이런 식으로 딱 한달 저렴하게 먹어보고 다시 재구매 할 지 안 할지 생각해 볼 수 있어서 좋더라고요. 다이소 건기식 코너의 경쟁력 상당히 있어 보입니다.,47,"['나쁘', '다이소', '건기', '종류', '저렴하', '구매', '생각', '다이소', '코너', '경쟁력', '보이']",긍정,긍정
비싼 약국약 보다는 다이소 영양제가 가성비로 좋긴함. 일부 양심적인 약사들이 인정한 부분임.,48,"['비싸', '약국', '다이소', '영양제', '가성비', '일부', '양심', '약사', '인정', '부분']",중립,긍정
