comment_text,content_id,형태소,감정
,9,[],중립
포켓 CU 어플로 구매하면 가까운 매장에서 픽업 가능해 편한 것 같아요,10,"['포켓', '어플', '구매', '가깝', '매장', '픽업', '가능', '편하']",중립
,11,[],중립
,12,[],중립
,13,[],중립
,14,[],중립
"🤩종근당과 CU가 콜라보했어요! https://www.pocketcu.co.kr/deepLink/checkAppInstall?viewType=1&viewUrl=/special/detail/CDK0VSBL07059 84년 전통의 종근당 건강기능식품 9종을 이제 CU에서 만나보실 수 있답니다. 멀티비타민미네랄로 기본 영양 챙기고, 깨끗하고 흡수 잘 되는! 초임계 알티지 오메가3 밀크씨슬은 간 건강, 루테인+비타민A는 눈 건강에 좋고요 프로바이오틱스는 이너케어 & 장 건강을 도와주고, 두뇌기억력엔 징코가 집중력과 기억력에 딱! 칼마디케이는 관절 케어, 혈당컷 다이어트는 혈당 조절과 다이어트에 도움을 줍니다. 하루 한 알, 간편하게 챙기기 딱 좋아요! 더 빠르게 갖고 싶다면 포켓CU 앱에서 주문 후 가까운 CU에서 바로 픽업하세요! 집 앞 CU에서 기다림 없이 바로 받아가니까 너무 편해요. 게다가 지금 런칭 기념 1+1 이벤트 중! 5천 원에 2박스, 20일치 건강 챙기기 찬스! 종근당 건강기능식품, CU에서 착한 가격에 만나보세요!",15,"['종근당', '콜라', '전통', '종근당', '건강', '기능', '식품', '만나', '멀티', '비타민', '미네랄', '기본', '영양', '챙기', '흡수', '초임', '알티', '오메가', '밀크', '건강', '루테', '비타민', '건강', '프로바이오틱스', '이너', '케어', '건강', '도와주', '두뇌', '기억력', '집중력', '기억력', '마디', '케이', '관절', '케어', '혈당', '다이어트', '혈당', '조절', '다이어트', '도움', '하루', '챙기', '빠르', '포켓', '주문', '가깝', '픽업', '기다리', '편하', '런칭', '기념', '이벤트', '박스', '건강', '챙기', '찬스', '종근당', '건강', '기능', '식품', '착하', '가격', '만나']",긍정
,16,[],중립
,17,[],중립
,18,[],중립
어머나~~반가운 소식이네요,19,"['반갑', '소식']",중립
"이제 좀 신경써서 챙겨 먹어야 하는 시기인데, 저도 구입해봐야겠어요",19,"['신경', '챙기', '시기', '구입']",중립
제품 다양해서 좋네요,19,"['제품', '다양']",중립
역시 건강은 종근당이네요,19,"['건강', '종근당']",중립
어머 저도 씨유 가봐야겠어요,19,['씨유'],중립
cu로 당장 달려가야겠어요 ㅎ,19,['달려가'],중립
역시 종근당 최고네요~!!,19,"['종근당', '최고']",긍정
엇 cu 메모...!!,19,['메모'],중립
9900원 가격 대박이네요 저도 고고씽,19,"['가격', '고고씽']",중립
이정도만 챙겨 먹어도 되겠군오ㅡ,19,"['정도', '챙기']",중립
건강기능식품 다양해요,19,"['건강', '기능', '식품']",중립
,20,[],중립
,21,[],중립
오늘도 감사합나다,22,['감사'],중립
퇴근길에 듣구 갑니다. 찜통더위에 건강도 잘챙기세요,22,"['퇴근길', '찜통', '더위', '건강', '챙기']",중립
아프지마시고~ 더운날씨건강조심하세요!!,22,"['아프', '날씨', '건강', '조심']",부정
더위에 건강 챙기면서 일하세요! 오늘도 좋은 정보 감사합니다 :),22,"['더위', '건강', '챙기', '오늘', '정보', '감사']",중립
몸관리 잘하세요 감사합니다^^,22,"['관리', '감사']",중립
감사합니다😊,22,['감사'],중립
감사합니다:),22,['감사'],중립
진짜 최고입니다 매번 ㅎㅎㅎ 매 주 월요일 방송 하고 업무 시작하시는건가요?,22,"['최고', '월요일', '방송', '업무', '시작']",긍정
감사합니다 😊,22,['감사'],중립
"💚 동아제약에서 출시한 CU 전용 건강기능식품 브랜드 ‘셀파렉스 바로’ 💊 가격은 단 5,000원✨ 항산화💪 비타민C1000부터 근육·에너지⚡ 마그네슘, 스트레스 완화🌿 테아닌, 눈 건강👀 루테인, 혈행·건조한 눈 개선💧 알티지오메가3, 관절·연골 건강🦵 MSM2000, 뼈·치아 건강🦷 칼슘마그네슘비타민D, 간 건강💚 밀크씨슬까지! 기능별로 골라먹는 8종 건강 케어라인업! 패키지도 예뻐서 보는 순간 시선 👀 확! 가까운 CU에서 만나보세요💚",23,"['동아제약', '출시', '전용', '건강', '기능', '식품', '브랜드', '셀파렉스', '가격', '항산화', '비타민', '근육', '에너지', '마그네슘', '스트레스', '완화', '아니', '건강', '루테', '건조', '개선', '오메가', '관절', '연골', '건강', '치아', '건강', '칼슘', '마그네슘', '비타민', '건강', '밀크', '기능', '고르', '건강', '케어', '라인', '패키지', '예쁘', '순간', '시선', '가깝', '만나']",중립
건기식없으면 발주해달라고 하시는게 빨라요 😂,24,"['건기', '발주', '빠르']",중립
13개 가져왔습니다 점주님이 정말 안팔리는건데 드뎌 나간다고하더군요,24,"['가지', '점주', '팔리', '나가']",중립
cu는 개박살났내 5월은 gs로갑니다,24,['박살'],중립
정가거부님 첫날부터 좋은 정보 정리해주신다고 고생하셨네요! 항상 감사해요 🥰,24,"['정가', '거부', '첫날', '정보', '정리', '고생', '감사']",중립
cu 도시락 할인 3-4월동안 행복했습니다 이제 안하겠네요 + 토스 페이스페이 한정 cu 간편식 50프로할인이 생겼네요 영상에없는데 참고,24,"['도시락', '할인', '동안', '행복', '토스', '페이스', '페이', '한정', '편식', '프로', '할인', '생기', '영상']",긍정
Cu야 인간적으로 구독이랑 중복이 안되는할인을 하는건.좀 에바.아니냐..,24,"['인간', '구독', '중복', '할인', '에바', '아니']",긍정
요즘 편의점 할인혜택 받으려면 날짜 상품 QR코드 알아야해서 빡시네요ㅎㅎ 이전에 GS25 GSPay 결제시 1+1 받던 브레디스크 롤케익이 개인적으로 젤 좋았어요ㅎㅎ,24,"['요즘', '편의점', '할인', '혜택', '날짜', '상품', '코드', '이전', '결제', '브레', '디스크', '케익', '개인']",긍정
티멤버십 적용 못해서 12개에 6천원에 샀네요 ㅠ,24,"['멤버십', '적용']",중립
저도 skt안되는거 같아서 24개쓸었습니다. 동생이랑 사장님도 몰랐다네요😂😂,24,"['동생', '사장', '모르']",중립
감사합니당정가거부님😅영양제90프로놀라워용😮,24,"['감사', '정가', '거부', '영양제', '프로', '놀랍']",부정
GS25는 QR결제로 해야한다는건가요? 아님 QR을 찍고 실물 카드로도 결제 가능한건가요?,24,"['결제', '아니', '실물', '카드', '결제', '가능']",중립
건기식 토스페이포인트도 되나요?,24,"['건기', '토스', '페이', '포인트']",중립
0:36 샌드위치&커피 콤보는 굳이 저 카드 아니어도 기본 콤보 할인 천원이 되기 때문에 직전에 나온 샌드위치 카카오페이 할인 40%와 연계하시면 꽤 괜찮은 할인률이 나옵니다. (제가 최근 몇개월간 계속 출근길 아침 챙겨먹은 방법입니다.),24,"['샌드위치', '커피', '콤보', '카드', '아니', '기본', '콤보', '할인', '때문', '직전', '나오', '샌드위치', '카카오페이', '할인', '연계', '괜찮', '할인', '나오', '최근', '개월', '출근길', '아침', '챙기', '방법']",긍정
GS 리얼프라이스 상품은 QR할인 찍고 KB페이로 결제하면 할인 적용안되나요? 플라스틱카드로 해야되는건지..,24,"['리얼', '프라이스', '상품', '할인', '페이', '결제', '할인', '적용', '플라스틱', '카드']",긍정
4월동안 혜자로운 빵 아주 좋았는데 5월도 하는군요 😊,24,"['동안', '혜자']",중립
4:30 큐알 어떻게 하는 건가요?,24,['어떻'],중립
계란30개가 아니구15개들어있어요~,24,"['계란', '아니']",중립
넹 감사합니당,24,['감사'],중립
고구마 사고 아아 800원에 살수 있다는뜻 맞죠? Gs 어플로 결제해야 하나요?,24,"['고구마', '어플', '결제']",중립
"GS 삼김Gspay 세븐 닭다리 BC,카페머니 정도가 저한텐 맞네요",24,"['세븐', '다리', '카페', '머니', '정도']",중립
cu 할인해서 샌드위치 잘 먹었는데 아쉽네요,24,"['할인', '샌드위치', '아쉽']",중립
"KT 알뜰폰 CU 제휴 되어있으면 혜택 적용 안되는거 같네요,, 다시 해봐도 안되서 그냥 나왔습니다",24,"['알뜰', '제휴', '혜택', '적용', '해보', '나오']",중립
T멤버십 중복 안되는거 같으니 다들 참고하시길..,24,"['멤버십', '중복', '참고']",중립
정가거부 마아아안~세~!^^/,24,"['정가', '거부', '마아아안세']",부정
마그네슘은 사지 마세요 산화마그네슘 들어간 싸구려입니다,24,"['마그네슘', '산화 마그네슘', '들어가', '싸구려']",중립
감사합니다 계란 혜자빵 좋아요,24,"['감사', '계란', '혜자']",중립
카드할인 부탁드리겠습니다 급합니다 ㅜㅜ 항상 잘 보고있습니다,24,"['카드', '할인', '부탁', '드리', '급하']",긍정
계란 15구 25퍼 할인해서 3900원이면 좋네요,24,"['계란', '할인']",긍정
캬,24,[],중립
cu 적용전에 티멤버쉽 먼저 적용하니 됩니다,24,"['적용', '멤버', '적용']",중립
,25,[],중립
,26,[],중립
,27,[],중립
,28,[],중립
,29,[],중립
,30,[],중립
,31,[],중립
,32,[],중립
,33,[],중립
텐텐이네 ㅋㅋ,34,['텐텐'],중립
사료에 천일염 섞어주면 안되나?ㅋㅋ,34,"['사료', '천일염']",중립
혀 다 닳겠음,34,[],중립
오 미네랄캐는중,34,['미네랄'],중립
살아있는 소는 먹지만 삶은소...도 먹을까?,34,[],중립
"축사에서 소들이 혀로 핥고 있는 이 빨간 덩어리는 단순한 사탕처럼 보일 수 있지만, 실제로는 소금과 다양한 무기질이 압축되어 만든 가축용 미네랄 보충제입니다. 🔹 미네랄 블록이란 무엇인가요? 미네랄 블록은 주로 소금(NaCl), 칼슘(Ca), 인(P), 마그네슘(Mg), 아연(Zn), 구리(Cu), 코발트(Co), 요오드(I), 셀레늄(Se) 등 동물에게 필수적인 무기질을 포함하고 있으며, 이들을 압축하여 고체 형태로 만든 제품입니다. 🧂 왜 미네랄 블록이 필요한가요? 가축들은 자연 상태에서는 다양한 식물을 통해 무기질을 섭취하지만, 축사나 사료 중심의 사육 환경에서는 무기질이 부족해지기 쉽습니다. 그중에서도 **소금(나트륨)**은 가장 부족해지기 쉬운 성분 중 하나이며, 가축의 식욕, 소화, 근육 기능, 수분 조절 등에 중요한 역할을 합니다. 🐄 소는 얼마나 먹나요? 과다섭취는 괜찮을까요? 소는 본능적으로 자신의 몸에 필요한 만큼만 미네랄을 섭취합니다. 과다섭취를 걱정하지 않아도 되며, 실제로 부족한 영양소가 채워지면 더 이상 핥지 않습니다. 💡 미네랄 블록의 장점 자율 섭취 가능 – 동물이 자유롭게 섭취할 수 있어 편리합니다. 관리 용이 – 일정 기간 사용할 수 있어 교체 주기가 깁니다. 균형 영양 보충 – 중요한 미량 원소까지 포함되어 있어 전체 건강을 유지하는 데 도움을 줍니다. 스트레스 완화 – 일부 가축은 미네랄 부족 시 스트레스를 겪을 수 있는데, 이를 예방할 수 있습니다. 🐖 어떤 동물들이 사용할 수 있나요? 미네랄 블록은 다양한 가축에게 유용합니다. 아래는 대표적인 사용 대상입니다: 소(한우, 젖소) 돼지 말 염소 양 사슴 닭 및 가금류 (이 경우에는 블록 형태보다는 가루 형태로 제공되는 경우가 많음) 야생동물 (자연 방사지에서 사용하는 경우도 있음) 🌱 사용 시 주의사항 미네랄 블록은 건조하고 통풍이 잘 되는 곳에 설치하는 것이 좋습니다. 직사광선이나 빗물에 노출되지 않도록 주의해야 하며, 오염되지 않도록 관리해야 합니다. 자연 상태에서 사육 중인 동물에게도 유용하게 제공할 수 있습니다. 📌 기억하세요! 미네랄 블록은 단순한 먹이가 아닌, 가축 건강을 유지하고 생산성을 높이는 중요한 수단입니다. 소들은 똑똑하게도 자신의 몸에 꼭 필요한 만큼만 핥기 때문에, 너무 많이 먹을까 걱정하지 않으셔도 됩니다. 🧠 가축을 키우신다면 꼭 미네랄 블록을 활용해보세요. 건강한 동물은 더 나은 품질의 축산물로 이어집니다!",34,"['축사', '빨갛', '덩어리', '단순', '사탕', '보이', '소금', '다양', '무기질', '압축', '만들', '가축', '미네랄', '보충', '미네랄', '블록', '무엇', '미네랄', '블록', '소금', '칼슘', '마그네슘', '아연', '구리', '코발트', '요오드', '레늄', '동물', '필수', '무기질', '포함', '압축', '고체', '형태', '만들', '제품', '미네랄', '블록', '필요', '가축', '자연', '상태', '다양', '식물', '통하', '무기질', '섭취', '축사', '사료', '중심', '사육', '환경', '무기질', '부족', '소금', '나트륨', '부족', '성분', '하나', '가축', '식욕', '소화', '근육', '기능', '수분', '조절', '중요', '역할', '과다', '섭취', '괜찮', '본능', '자신', '필요', '만큼', '미네랄', '섭취', '과다', '섭취', '걱정', '부족', '영양소', '채우', '이상', '미네랄', '블록', '장점', '자율', '섭취', '가능', '동물', '자유', '섭취', '편리', '관리', '일정', '기간', '사용', '교체', '주기', '균형', '영양', '보충', '중요', '미량', '원소', '포함', '전체', '건강', '유지', '도움', '스트레스', '완화', '일부', '가축', '미네랄', '부족', '스트레스', '예방', '동물', '사용', '미네랄', '블록', '다양', '가축', '유용', '아래', '대표', '사용', '대상', '한우', '젖소', '돼지', '염소', '사슴', '가금', '경우', '블록', '형태', '가루', '형태', '제공', '경우', '야생', '동물', '자연', '방사', '사용', '경우', '사용', '주의', '사항', '미네랄', '블록', '건조', '통풍', '설치', '직사광선', '빗물', '노출', '주의', '오염', '관리', '자연', '상태', '사육', '동물', '유용', '제공', '기억', '미네랄', '블록', '단순', '먹이', '아니', '가축', '건강', '유지', '생산', '높이', '중요', '수단', '자신', '필요', '만큼', '때문', '걱정', '가축', '키우', '미네랄', '블록', '활용', '건강', '동물', '품질', '축산물', '이어지']",부정
요즘 글로벌 경제난이 이리 심각합니다. 벽돌을 먹이네...,34,"['요즘', '글로벌', '경제난', '심각하', '벽돌', '먹이']",중립
https://mkt.shopping.naver.com/link/693c07fd5ea0a206e537298f,35,[],중립
,36,[],중립
노래에 빠졌어요 🎵🎶🎶🥰🥰❤️❤️👍👍,37,"['노래', '빠지']",중립
❤❤건강해😊😊,37,['건강'],중립
,38,[],중립
유튜브에 안 올라오는 일상 사진은 인스타그램에 올리고 있어요 :) 👩 일상 계정 → @seung.aah 🐶 꼬미 출근 릴스 → @kkom.aah 팔로우하고 더 자주 만나요~!,39,"['유튜브', '올라오', '일상', '사진', '인스타그램', '올리', '일상', '계정', '꼬미', '출근', '릴스', '팔로우', '만나']",중립
꼬미 가방타고다닐때 저렇게 쳐다보고 있어요? 너무 귀엽네 ㅠㅠㅠㅠ,39,"['꼬미', '가방', '다니', '저렇', '쳐다보', '귀엽']",중립
꺄 꼬미왔다~!~!!,39,['꼬미'],중립
ㅎㅎ조카마니컷네요ㅎㅎ꼬미 사료씹는 소리랑 물마시는소리 넘 좋아요ㅎㅎ😊,39,"['조카마니컷네요꼬미', '사료', '소리', '마시', '소리']",중립
오늘도귀엽네요😊😊,39,"['오늘', '귀엽']",중립
항상 조심해서 다녀야겠네요😢,39,"['조심', '다니']",중립
혐생으로 이제야 정주행 합니다용😢,39,['주행'],중립
"저는 에스더몰에서 초임계 알티지 오메가3, 멀티비타민 미네랄 두 개 먹고 있어요. 8900원씩 하는데 저렴하죠? 의사선생님인 여에스더님이 판매하시는 거라 믿고 먹어요. 승아님도 오메가, 멀티비타민 미네랄 드시나요? 안 드시면 드시는 걸 추천해요😊 비판텐 좋은진 얘기 많이 들어 알긴 한데 아이크림 대용으로도 좋군요? 참고할게요~ 저도 아이크림이 필요한데.. 한 번 아이크림으로 써봐? 저희 강아지는 식탐은 없어서 길가에서 뭐 줏어먹진 않는데 외할머니댁에서 엄마 요리할 때 대파가 부엌바닥에 떨어졌는데 그거 먹은 줄 알고 늦은 저녁에 24시 2차? 동물병원가서 게워내게 하고 난리였었어요😂 뱃속엔 황태 뿐..(사료를 못 챙겨가서 한 끼는 황태만 한 줌 먹임) 되돌아보니 그것도 추억?이라면 비싼 추억이네요😂 대파 안 먹어서 다행이었지.. 제가 화장품은 화해 앱에서 성분 검색해서 쓰는데 달바.. 어떤 제품은 성분은 좋지 못한 걸로 나오던데 많이들 쓰시더라구요😂 저는 순한 것, 기능성 쓰다가 귀찮아서 안 바르다가 하고 있네요😂 (피부 좋은 것도 아니면서 안 챙기고 어쩐대😢) 5:27 퇴근하니까 꼬미도 좋은가봐요, 꼬리도 방정?맞게 흔들면서 걷구😂ㅋㅋ 이번 겨울은 유난히 추운 것 같아요. 영하로 거의 떨어지지 않는 남쪽나라 부산이 오후엔 계속 영하..😅 빨리 봄이 되서 날이 풀렸으면 좋겠어요. 울 딴이 산책갈 때마다 미안해죽겠어요😂😂 이렇게 추운 추위는 6년 평생 처음 겪어보다시피 할텐데 하구요~ ㅋㅋ저는 내복입고 다녀요. 내복빨 때면 바지 안에 레깅스입기도..ㅋㅋ 저는 엄마가 두부조림, 오이무침을 정말 맛있게 하셔서 그 두 개를 배워 보려는데 잘 안 가르쳐 주시네요😂ㅋㅋ 그 수업듣기 참 비싸다 정말~.. 어디까지 도는 거예요..? 어디까지 올라가는 거예요?였나ㅋㅋ 부산억양으로 읽었어요ㅋㅋㅋㅋ 오~ 울쎄라 좋은가요? 나도 저렇게 관리를 잘해야 할텐데 이마주름이 조금 생겨버림....ㅠ 추천해주시는 것 참고해서 받아볼게요~😊고맙습니다. 이번 주도 알차게 잘 봤어요ㅎㅅㅎ 다음 주도 기대하며~!!우리는 다음에 또 만나영~^.^//",39,"['에스', '초임', '알티', '오메가', '멀티', '비타민', '미네랄', '저렴하', '의사', '선생', '여에스더', '판매', '승아', '오메가', '멀티', '비타민', '미네랄', '드시', '드시', '드시', '추천', '비판', '얘기', '크림', '대용', '참고', '크림', '필요', '크림', '저희', '강아지', '식탐', '길가', '외할머니', '엄마', '요리', '대파', '부엌', '바닥', '떨어지', '그거', '저녁', '동물', '병원', '게우', '난리', '뱃속', '황태', '사료', '챙기', '황태', '먹이', '되돌아보', '그것', '추억', '비싸', '추억', '다행', '화장품', '화해', '성분', '검색', '제품', '성분', '못하', '나오', '순하', '기능', '귀찮', '바르', '피부', '아니', '챙기', '어쩌', '퇴근', '꼬미', '꼬리', '방정맞', '흔들', '이번', '겨울', '영하', '떨어지', '남쪽', '나라', '부산', '오후', '영하', '풀리', '산책', '미안', '이렇', '추위', '평생', '처음', '내복', '다니', '내복', '바지', '레깅스', '엄마', '두부', '조림', '오이', '무침', '맛있', '배우', '가르치', '수업', '비싸', '어디', '어디', '올라가', '부산', '억양', '울쎄라', '관리', '이마', '주름', '생기', '버리', '추천', '참고', '고맙', '이번', '알차', '다음', '기대', '우리', '다음', '만나']",긍정
꼬미먹는쌀과자뭐예요?,39,"['꼬미', '과자']",중립
,40,[],중립
,41,[],중립
어르미 꼬리 흔드는거야? ㅋㅋㅋ 귀여워💖💖💖,42,"['어르미', '꼬리', '흔들', '귀엽']",중립
간식 주세요❤❤❤,42,['간식'],중립
어르미 배고픈데 간식줘라😮 많이~많이 안돼 뱃살나와 ❤❤❤,42,"['어르미', '배고프', '간식', '뱃살', '나오']",중립
여르미공듀 😍❤,42,['여르미공듀'],중립
😅😊😊❤,42,[],중립
어르미공주야 간식은 좋치❤❤❤,42,"['어르미', '공주', '간식']",중립
So cute 🤩🥳,42,[],중립
Merci beaucoup sublime ton toutou ❤ ❤,42,[],중립
Good Morning! Look at that happy tail! SO CUTE! :-),42,[],중립
,42,[],중립
귀여워❤❤귀는왜😂😂,42,['귀엽'],중립
,43,[],중립
얘들아.. 그냥 적당히 마셔라.. 절대라는건 없다.. 따라하다가 한방에 훅 가서 추운데 공원에서 자다가 멀리 떠날 수 있다!! (난 다행히 누가 경찰에 신고해서 10년전에 살 수 있었다..),44,"['마시', '따르', '공원', '떠나', '누구', '경찰', '신고']",중립
30대되서 배운거 알려준다. 26학번들 잘들어!! 영상에서 말한거 다 필요없고 마시다가 살짝 술이 들어왔다는 느낌이 드는순간 물로 바꿔치기해서 물만 마시면 적당히 취해서 집에갈수있고 숙취도 없다!!! 대학친구 영원할줄알고 부어라마셔라 해뜰때까지 마셔봤는데 그거 다 부질없더라. 물로 바꿔치기 할때 눈치빨라서 넌 왜 물마셔!! 하는애 있는 술자리는 가지마라!!,44,"['배우', '알리', '학번', '영상', '필요', '마시', '들어오', '느낌', '순간', '바꿔치기', '마시', '취하', '숙취', '대학', '친구', '영원', '마시', '마시', '그거', '부질없', '바꾸', '눈치', '빠르', '마시', '술자리']",중립
🥹뽀로로대학생이 벌써 술을 이기는 방법을 알다니 흠흠☺️,44,"['뽀로로', '대학', '이기', '방법']",중립
1.한 잔만 마셔도 얼굴 뻘개지는 사람은 그냥 술 먹으면 안되는 사람입니다 2.요즘 세상에 억지로 술 맥이는 사람은 조용히 손절하세요 질 나쁜 사람입니다 3.먹으면 (주량)는다는 소리는 진짜 무식한 소리입니다 유전적으로 알콜분해 능력은 정해져있어요,44,"['마시', '얼굴', '사람', '사람', '요즘', '세상', '맥이', '사람', '나쁘', '사람', '주량', '소리', '무식', '소리', '유전', '알콜', '분해', '능력', '정하']",중립
귀엽다 ㅎㅎ,44,['귀엽'],중립
안취하는 방법은 이게 맞지만 오로지 숙취가 걱정이시면 알디콤 플러스가 직빵입니다…. 술은 잘 마시는데 숙취가 심해서 숙취해소제 이것저것 다 먹어봤는데 알디콤 플러스만한게 없어요,44,"['취하', '방법', '이것', '숙취', '걱정', '알디콤', '플러스', '마시', '숙취', '심하', '숙취', '해소', '이것저것', '알디콤', '플러스']",중립
그냥 적장히 먹는게 좋습니다 ㅋㅋ,44,['적장'],중립
RU21은 인정,44,['인정'],중립
안취해야할때 꼭쓰세요..❤,44,['취하'],중립
참새구이가 맛있더라구요 ㅎㅎ,44,"['참새', '구이', '맛있']",중립
이거 간상해요..,44,"['이거', '상하']",중립
"진짜 꿀팁은 의외로 나 힘들다 못 마실거 같다 하면서 남들 원샷할때 분위기만 따라서 짠하고 몇번 꺾어마셔도 뭐라 안함.핀잔 한두번 듣고 말지,정색하는 놈은 바로 손절 때리고.영업사원이 접대하는 입장이라 어쩔수 없으면 그나마 안주빨보단 중간중간 배터질 만큼 물 많이 마시셈.다음날 기적같이 목이 덜 마르고 입안 덜 텁텁하고 속이 상쾌함. 대학생때 까지 주량 따지고 빈 술병 줄세워놓는게 낭만이고 재밌었지,서른 되니까 친구끼리는 걍 맥주몇병보단 같은 값에 알딸딸하게 위스키나 크맥 둬잔 하는게 좋고 동창회나 모임처럼 부어라마셔라판 되면 처음 말한대로 하면 누구도 뭐라 안함,그 나이먹고 취해 주사 부리거나 부축당하는게 더 꼴값임.",44,"['힘들', '마시', '원샷', '분위기', '따르', '짠하', '마시', '핀잔', '정색', '때리', '영업', '사원', '접대', '입장', '어쩌', '안주', '중간', '중간', '터지', '만큼', '마시', '다음날', '기적', '마르', '대학', '주량', '따지', '술병', '세우', '낭만', '재밌', '서른', '친구', '맥주', '위스키', '동창회', '모임', '마시', '처음', '대로', '누구', '나이', '취하', '주사', '부리', '부축']",중립
음..뭘 먹는것보다 술마실때 음료수대신 물을 마시세요..!! 이게 제일 효과 좋아요 진탕마셔도 물만 많이 마셔주면 다음날 머리만 어지러울뿐 속 뒤집어지진 않아요👍,44,"['마시', '음료수', '대신', '마시', '이것', '효과', '마시', '마시', '다음', '머리', '어지럽', '뒤집']",긍정
취하고 싶어서 술 마시는건데 안취하면 ㅜㅜ,44,"['취하', '마시', '취하']",중립
없어도 10병깐다 숙취는 평생없었다...이러다 확 가겠지....,44,"['숙취', '평생', '이러']",중립
예아....,44,[],중립
이렇게까지 먹어야되나....,44,['이렇'],중립
약국가서 술먹기전에 먹는 약 주세요 하면 더 효과좋은거 추천해줌,44,"['약국', '효과', '추천']",긍정
비타민을 먹으면 약간 기운없다가도 살짝 기운이 생기는데 5~6병먹어도 안취하는 내 기준에서 몸이 피곤하면 3~4병 먹어도 힘든날 있고 연차쓰고 쉬다가 술먹으러 나가면 5~6병 먹어도 멀쩡함 그냥 피로도 차이지 뭘 먹으면 덜 취하고 더 취하고 다 개소리임 근데 확실한건 숯불이나 이런 고기집같은데서 불 앞에 가까이있어서 더워지다보면 더 빨리취하는거같더라 난 내가 무조건 고기굽기 때문에 불이랑 좀 가까이있는 편이라 느낀거임 담배 안피더라도 애들 나갈때 같이 나가서 찬바람 쐬고 시원한 물 먹다보면 조금은 더 먹을 수 있을꺼임,44,"['비타민', '기운', '기운', '생기', '취하', '기준', '피곤', '힘들', '연차', '나가', '피로도', '차이', '취하', '취하', '개소리', '숯불', '고기', '취하', '고기', '때문', '느끼', '담배', '나가', '나가', '바람', '조금']",중립
세병까면 다개됩니다,44,[],중립
애쓰신다 아빠 한살이라도 젊었을때 많이 드셔보시길 난 그대로거나 짬차서 강해지는데 아빠는 확 갈때 얼마나 안타까운지 여러 사건이 있었지만 장인어른과 아빠가 나보다 월등히 슬 못먹는게 어느순간 느껴졌을때 서글픔 물론 여기서 말한 밀크시슬류(우루사)는 거의 매일먹고 및 ru21은 진짜 가끔 먹음,44,"['애쓰', '아빠', '드시', '강하', '아빠', '안타깝', '사건', '장인어른', '아빠', '순간', '느끼', '서글프', '여기', '밀크', '우루사']",중립
이정도면 10병 까는거 라이브로 올리는게...,44,"['정도', '라이브', '올리']",중립
